patient_aggregation,score_mode,threshold,auroc,accuracy,precision,recall,f1,fpr,tn,fp,fn,tp
mean,topk_mse_5,0.019500477544286014,0.926456868500694,0.8248175182481752,0.964622641509434,0.7957198443579766,0.8720682302771855,0.08771929824561403,156,15,105,409
top2_mean,topk_mse_5,0.043428605329245314,0.9223041390766151,0.44525547445255476,0.9855072463768116,0.26459143968871596,0.4171779141104294,0.011695906432748537,169,2,378,136
max,topk_mse_5,0.05114348568022238,0.9146699433408424,0.39854014598540144,0.9903846153846154,0.20038910505836577,0.3333333333333333,0.005847953216374269,170,1,411,103
mean,topk_mse_10,0.012469619641908337,0.9127471727307893,0.8145985401459854,0.9552941176470588,0.7898832684824902,0.8647497337593184,0.1111111111111111,152,19,108,406
top2_mean,topk_mse_10,0.02509078700095414,0.9080597082849797,0.4802919708029197,0.9876543209876543,0.311284046692607,0.47337278106508873,0.011695906432748537,169,2,354,160
max,topk_mse_10,0.029347124882042375,0.8986165153480329,0.43795620437956206,0.9923664122137404,0.2529182879377432,0.40310077519379844,0.005847953216374269,170,1,384,130
mean,ensemble_mse_ssim_topk,1.3889973966605706,0.891505677293103,0.8189781021897811,0.9314159292035398,0.8190661478599222,0.8716356107660456,0.18128654970760233,140,31,93,421
top2_mean,ensemble_mse_ssim_topk,4.04371817250046,0.8858852708944867,0.49635036496350365,0.9828571428571429,0.3346303501945525,0.49927431059506533,0.017543859649122806,168,3,342,172
mean,ensemble_all_base,1.3324394384999798,0.883621180057797,0.8175182481751825,0.9293598233995585,0.8190661478599222,0.8707342295760083,0.1871345029239766,139,32,93,421
mean,retina_weighted_mse,0.002155442280116293,0.8828816529000841,0.7985401459854015,0.9331797235023042,0.7879377431906615,0.8544303797468354,0.1695906432748538,142,29,109,405
mean,ensemble_mse_retina,1.4596984237922568,0.8814822399708739,0.7970802919708029,0.9391100702576113,0.7801556420233463,0.8522848034006376,0.15204678362573099,145,26,113,401
mean,retina_band_mse,0.0022499007679446514,0.8798894122465697,0.8058394160583942,0.9379310344827586,0.7937743190661478,0.8598524762908325,0.15789473684210525,144,27,106,408
mean,ensemble_l1_ssim_topk,1.249858354797817,0.8795936013834846,0.8116788321167884,0.9157667386609071,0.8249027237354085,0.8679631525076765,0.22807017543859648,132,39,90,424
top2_mean,ensemble_all_base,3.7794664389953345,0.8781486790907229,0.4978102189781022,0.9829545454545454,0.33657587548638135,0.5014492753623189,0.017543859649122806,168,3,341,173
top2_mean,retina_weighted_mse,0.003973722865339365,0.8773636425694586,0.48759124087591244,0.9822485207100592,0.3229571984435798,0.486090775988287,0.017543859649122806,168,3,348,166
top2_mean,ensemble_mse_retina,4.334506775776953,0.875497758663845,0.4846715328467153,0.9820359281437125,0.31906614785992216,0.48164464023494863,0.017543859649122806,168,3,350,164
max,ensemble_mse_ssim_topk,4.633890536443766,0.8749744009830023,0.47007299270072994,0.9870967741935484,0.29766536964980544,0.45739910313901344,0.011695906432748537,169,2,361,153
top2_mean,retina_band_mse,0.004077540233265608,0.8744965526657109,0.4992700729927007,0.9830508474576272,0.33852140077821014,0.5036179450072359,0.017543859649122806,168,3,340,174
mean,mse,0.0019857504244686825,0.8740869683937471,0.7854014598540145,0.9317647058823529,0.7704280155642024,0.8434504792332268,0.1695906432748538,142,29,118,396
top2_mean,ensemble_l1_ssim_topk,3.395000538280302,0.8737797801897741,0.49343065693430654,0.9826589595375722,0.33073929961089493,0.4949053857350801,0.017543859649122806,168,3,344,170
max,retina_weighted_mse,0.0042624369263648985,0.868318656563588,0.4744525547445255,0.98125,0.30544747081712065,0.4658753709198813,0.017543859649122806,168,3,357,157
max,ensemble_all_base,4.181229577431788,0.8682731472000362,0.47737226277372263,0.9814814814814815,0.3093385214007782,0.47041420118343197,0.017543859649122806,168,3,355,159
top2_mean,mse,0.0038148337160237127,0.8677270348374179,0.4583941605839416,0.9798657718120806,0.2840466926070039,0.44042232277526394,0.017543859649122806,168,3,368,146
mean,ensemble_mse_l1_retina,1.3774967884616403,0.8663276219082076,0.7824817518248175,0.9176201372997712,0.7801556420233463,0.843322818086225,0.21052631578947367,135,36,113,401
max,ensemble_mse_retina,4.825279960159477,0.866304867226432,0.47007299270072994,0.9808917197452229,0.29961089494163423,0.45901639344262296,0.017543859649122806,168,3,360,154
max,retina_band_mse,0.004349561547860501,0.8649509636607731,0.4832116788321168,0.9819277108433735,0.31712062256809337,0.47941176470588237,0.017543859649122806,168,3,351,163
max,ensemble_l1_ssim_topk,3.742120807319911,0.8628006462329625,0.47007299270072994,0.9808917197452229,0.29961089494163423,0.45901639344262296,0.017543859649122806,168,3,360,154
top2_mean,ensemble_mse_l1_retina,3.8327320114575865,0.8606617061460395,0.48175182481751827,0.9818181818181818,0.3151750972762646,0.47717231222385864,0.017543859649122806,168,3,352,162
max,mse,0.0040729675907641635,0.856770655562382,0.454014598540146,0.9794520547945206,0.2782101167315175,0.43333333333333335,0.017543859649122806,168,3,371,143
mean,ensemble_mse_l1,1.426504107109684,0.8509795890504471,0.7678832116788321,0.9043280182232346,0.7723735408560312,0.8331584470094439,0.24561403508771928,129,42,117,397
max,ensemble_mse_l1_retina,4.26820435540906,0.8506268914829227,0.46277372262773725,0.9802631578947368,0.2898832684824903,0.44744744744744747,0.017543859649122806,168,3,365,149
top2_mean,ensemble_mse_l1,3.9957891890489923,0.8444376180399116,0.44963503649635034,0.9790209790209791,0.2723735408560311,0.426179604261796,0.017543859649122806,168,3,374,140
max,ensemble_mse_l1,4.351189027129743,0.8326165608573963,0.44233576642335765,0.9714285714285714,0.26459143968871596,0.41590214067278286,0.023391812865497075,167,4,378,136
mean,ensemble_mse_l1_ssim,1.281128575193848,0.8323890140396386,0.7605839416058394,0.8995433789954338,0.7665369649805448,0.8277310924369747,0.2573099415204678,127,44,120,394
top2_mean,ensemble_mse_l1_ssim,3.4225032679849505,0.825562609506906,0.4218978102189781,0.9836065573770492,0.23346303501945526,0.37735849056603776,0.011695906432748537,169,2,394,120
max,ensemble_mse_l1_ssim,3.6639561642059144,0.8127175916444808,0.4072992700729927,0.9655172413793104,0.2178988326848249,0.35555555555555557,0.023391812865497075,167,4,402,112
mean,l1,0.029984760587103646,0.7988941224656972,0.7343065693430657,0.8896713615023474,0.7373540856031129,0.8063829787234043,0.27485380116959063,124,47,135,379
top2_mean,l1,0.042953019961714745,0.7907593237308577,0.3708029197080292,0.9662921348314607,0.16731517509727625,0.28524046434494194,0.017543859649122806,168,3,428,86
max,l1,0.045120755955576894,0.7780053245955355,0.345985401459854,0.9459459459459459,0.13618677042801555,0.23809523809523808,0.023391812865497075,167,4,444,70
mean,mse_ssim_score,0.07774824399501082,0.7074544337497441,0.656934306569343,0.8461538461538461,0.6634241245136187,0.7437295528898582,0.36257309941520466,109,62,173,341
top2_mean,mse_ssim_score,0.11129515767097471,0.700969349443648,0.30364963503649633,0.9111111111111111,0.07976653696498054,0.14669051878354203,0.023391812865497075,167,4,473,41
mean,ssim_error,0.3802714166045188,0.6946435479099824,0.6364963503649635,0.8423772609819121,0.6342412451361867,0.7236403995560489,0.3567251461988304,110,61,188,326
max,mse_ssim_score,0.11680019348859785,0.6896716499419756,0.2934306569343066,0.875,0.06809338521400778,0.1263537906137184,0.029239766081871343,166,5,479,35
top2_mean,ssim_error,0.53943273127079,0.6877943886954739,0.3007299270072993,0.9069767441860465,0.07587548638132295,0.1400359066427289,0.023391812865497075,167,4,475,39
max,ssim_error,0.5652092754840851,0.6775206498737115,0.2934306569343066,0.875,0.06809338521400778,0.1263537906137184,0.029239766081871343,166,5,479,35
